RatingID,XPK_COUNTERPARTY,FAIR_AnnualTurnover,RDF_TotalTurnover,Turnover_Match_Status,FAIR_TotalAssets,RDF_TotalAssets,Assets_Match_Status,Overall_Match_Status,RDF_Source_System
2743302.0,2743302,171911000,1.71911E8,MATCH,3529208000,3.529208E9,MATCH,FULL_MATCH,FAIR
2743405.0,2743405,53869000,5.3869E7,MATCH,370840000,3.7084E8,MATCH,FULL_MATCH,FAIR
2743470.0,2743470,6364000,6364000.0,MATCH,7297000,7297000.0,MATCH,FULL_MATCH,FAIR
2743500.0,2743500,2566882465.92027,2.56688246592027E9,MATCH,2937180868.50611,2.93718086850611E9,MATCH,FULL_MATCH,FAIR
2743578.0,2743578,40335000000,4.0335E10,MATCH,58252000000,5.8252E10,MATCH,FULL_MATCH,FAIR
2743612.0,2743612,27694000000,2.7694E10,MATCH,40293000000,4.0293E10,MATCH,FULL_MATCH,FAIR
2743615.0,2743615,27694000000,2.7694E10,MATCH,40293000000,4.0293E10,MATCH,FULL_MATCH,FAIR
2743660.0,2743660,1733145132.10279,1.73314513210279E9,MATCH,3541386174.44806,3.54138617444806E9,MATCH,FULL_MATCH,FAIR
2744047.0,2744047,28043943.6619718,2.80439436619718E7,MATCH,24178028.1690141,2.41780281690141E7,MATCH,FULL_MATCH,FAIR
2744050.0,2744050,48501065.5931802,4.85010655931802E7,MATCH,233110348.093772,2.33110348093772E8,MATCH,FULL_MATCH,FAIR
2744060.0,2744060,25861946.4835425,2.58619464835425E7,MATCH,29287236.561686,2.9287236561686E7,MATCH,FULL_MATCH,FAIR
2744074.0,2744074,130536000,1.30536E8,MATCH,43811000,4.3811E7,MATCH,FULL_MATCH,FAIR
2744107.0,2744107,4510000,4510000.0,MATCH,12408000,1.2408E7,MATCH,FULL_MATCH,FAIR
2744325.0,2744325,-6906000000,-6.906E9,MATCH,90375000000,9.0375E10,MATCH,FULL_MATCH,FAIR
2744366.0,2744366,57132000,5.7132E7,MATCH,48566000,4.8566E7,MATCH,FULL_MATCH,FAIR
2744451.0,2744451,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744452.0,2744452,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744453.0,2744453,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744454.0,2744454,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744455.0,2744455,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744456.0,2744456,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744457.0,2744457,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744458.0,2744458,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744459.0,2744459,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744460.0,2744460,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744461.0,2744461,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744462.0,2744462,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744463.0,2744463,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744465.0,2744465,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744466.0,2744466,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744467.0,2744467,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744468.0,2744468,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744469.0,2744469,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744470.0,2744470,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744471.0,2744471,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744472.0,2744472,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744473.0,2744473,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744474.0,2744474,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744475.0,2744475,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744476.0,2744476,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744477.0,2744477,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744478.0,2744478,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744479.0,2744479,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744480.0,2744480,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744481.0,2744481,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744482.0,2744482,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744483.0,2744483,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744484.0,2744484,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744485.0,2744485,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744486.0,2744486,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
