RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
2904777,2904777,null,29796000,29796000,29796000,null,366925000,366925000,366925000,null
2937637,2937637,null,85196000,85196000,85196000,null,64930000,64930000,64930000,null
2751165,2751165,null,27088000,27088000,27088000,null,8582000,8582000,8582000,null
2913044,2913044,null,44216000,44216000,44216000,null,23919000,23919000,23919000,null
2889095,2889095,null,31773000,31773000,31773000,null,5384000,5384000,5384000,null
2902837,2902837,null,8380000,8380000,8380000,null,27947000,27947000,27947000,null
2950397,2950397,null,24262000,24262000,24262000,null,7573000,7573000,7573000,null
2904640,2904640,null,821000000,821000000,821000000,null,1253000000,1253000000,1253000000,null
2871953,2871953,null,23028000000,23028000000,23028000000,null,375952000000,375952000000,375952000000,null
2900061,2900061,null,342933405.718422,342933405.718422,342933405.718422,null,1861150018.09627,1861150018.09627,1861150018.09627,null
2920689,2920689,null,52536000,52536000,52536000,null,73852000,73852000,73852000,null
2727802,2727802,null,1907625427.46053,1907625427.46053,1907625427.46053,null,1402189534.82925,1402189534.82925,1402189534.82925,null
2898651,2898651,null,2893000,2893000,2893000,null,1152000,1152000,1152000,null
2923316,2923316,null,67178000,67178000,67178000,null,34807000,34807000,34807000,null
2854702,2854702,null,4345000,4345000,4345000,null,3177000,3177000,3177000,null
2930392,2930392,null,530606000,530606000,530606000,null,398758000,398758000,398758000,null
2838070,2838070,null,1250000,1250000,1250000,null,1594000,1594000,1594000,null
2867338,2867338,null,470556000,470556000,470556000,null,1533964000,1533964000,1533964000,null
2913892,2913892,null,6819000,6819000,6819000,null,21833000,21833000,21833000,null
2925954,2925954,null,14885000000,14885000000,14885000000,null,20371000000,20371000000,20371000000,null
2783562,2783562,null,12478000,12478000,12478000,null,13977000,13977000,13977000,null
2901508,2901508,null,2481000,2481000,2481000,null,2171000,2171000,2171000,null
2847238,2847238,null,2192000,2192000,2192000,null,712000,712000,712000,null
2940057,2940057,null,205654000,205654000,205654000,null,32023000,32023000,32023000,null
2846545,2846545,null,4605000,4605000,4605000,null,2741000,2741000,2741000,null
2918423,2918423,null,6806000,6806000,6806000,null,4998000,4998000,4998000,null
2870689,2870689,null,771152000,771152000,771152000,null,501398000,501398000,501398000,null
2841434,2841434,null,6297000,6297000,6297000,null,3036000,3036000,3036000,null
2942150,2942150,null,2867000,2867000,2867000,null,26880000,26880000,26880000,null
2746853,2746853,null,133481000,133481000,133481000,null,132170000,132170000,132170000,null
2908217,2908217,null,8877000,8877000,8877000,null,6616000,6616000,6616000,null
2759092,2759092,null,8199501000,8199501000,8199501000,null,8927384000,8927384000,8927384000,null
2895924,2895924,null,5564000,5564000,5564000,null,6716000,6716000,6716000,null
2915887,2915887,null,4102000,4102000,4102000,null,6683000,6683000,6683000,null
2940335,2940335,null,29944000,29944000,29944000,null,75145000,75145000,75145000,null
2887172,2887172,null,4698697.06840391,4698697.06840391,4698697.06840391,null,34401086.8037663,34401086.8037663,34401086.8037663,null
2942738,2942738,null,25870000,25870000,25870000,null,12458000,12458000,12458000,null
2875424,2875424,null,28711536.245246,28711536.245246,28711536.245246,null,9196726.97937075,9196726.97937075,9196726.97937075,null
2919434,2919434,null,86646000,86646000,86646000,null,88564000,88564000,88564000,null
2864103,2864103,null,95010000,95010000,95010000,null,67365000,67365000,67365000,null
2906018,2906018,null,1266082000,1266082000,1266082000,null,774879000,774879000,774879000,null
2946504,2946504,null,null,null,null,null,148164000,148164000,148164000,null
2946409,2946409,null,1278000,1278000,1278000,null,6415000,6415000,6415000,null
2874462,2874462,null,8092000,8092000,8092000,null,3871000,3871000,3871000,null
2912702,2912702,null,4959000,4959000,4959000,null,7177000,7177000,7177000,null
2942979,2942979,null,61252000,61252000,61252000,null,51299000,51299000,51299000,null
2939648,2939648,null,325748000,325748000,325748000,null,210936000,210936000,210936000,null
2937734,2937734,null,1000,1000,1000,null,41974000,41974000,41974000,null
2934197,2934197,null,7725000,7725000,7725000,null,8550000,8550000,8550000,null
2917949,2917949,null,262000,262000,262000,null,4585000,4585000,4585000,null
