RatingID,XPK_COUNTERPARTY,FAIR_AnnualTurnover,RDF_TotalTurnover,Turnover_Match_Status,FAIR_TotalAssets,RDF_TotalAssets,Assets_Match_Status,Overall_Match_Status,RDF_Source_System
2731814,2731814,6346000,6346000,MATCH,null,94757000,FAIR_NULL,MISMATCH,FAIR
2732187,2732187,230267227.237277,230267227.237277,MATCH,null,5635213754.89678,FAIR_NULL,MISMATCH,FAIR
2732989,2732989,null,27785000,FAIR_NULL,20809000,30235000,MISMATCH,MISMATCH,FAIR
2733439,2733439,701000,701000,MATCH,null,1843000,FAIR_NULL,MISMATCH,FAIR
2733817,2733817,9333000,9333000,MATCH,null,31056000,FAIR_NULL,MISMATCH,FAIR
2734877,2734877,null,17746000,FAIR_NULL,4856000,4856000,MATCH,MISMATCH,FAIR
2735071,2735071,null,730000,FAIR_NULL,1239000,1239000,MATCH,MISMATCH,FAIR
2735116,2735116,59732046.65761,59732046.65761,MATCH,null,284601114.91076,FAIR_NULL,MISMATCH,FAIR
2735232,2735232,null,48065000,FAIR_NULL,31278000,31470000,MISMATCH,MISMATCH,FAIR
2735363,2735363,null,1296000,FAIR_NULL,21252000,21252000,MATCH,MISMATCH,FAIR
2735550,2735550,null,3213000,FAIR_NULL,20398000,20398000,MATCH,MISMATCH,FAIR
2735787,2735787,null,9786874.15426252,FAIR_NULL,111785069.914299,111785069.914299,MATCH,MISMATCH,FAIR
2736064,2736064,null,185042000,FAIR_NULL,87835000,87835000,MATCH,MISMATCH,FAIR
2736298,2736298,null,688181000,FAIR_NULL,864501000,864501000,MATCH,MISMATCH,FAIR
2736535,2736535,206183000,206183000,MATCH,null,1862205000,FAIR_NULL,MISMATCH,FAIR
2737186,2737186,null,34093783.6698365,FAIR_NULL,294320513.42109,294320513.42109,MATCH,MISMATCH,FAIR
2737191,2737191,25134000,25134000,MATCH,null,34691000,FAIR_NULL,MISMATCH,FAIR
2737291,2737291,18900000,18900000,MATCH,19952218.1102731,693000000,MISMATCH,MISMATCH,FAIR
2737292,2737292,null,65259000,FAIR_NULL,30852000,69148000,MISMATCH,MISMATCH,FAIR
2737643,2737643,null,3912000,FAIR_NULL,13711000,13711000,MATCH,MISMATCH,FAIR
2737913,2737913,null,1002497000,FAIR_NULL,782102000,886748000,MISMATCH,MISMATCH,FAIR
2737926,2737926,null,10510000,FAIR_NULL,176599000,176599000,MATCH,MISMATCH,FAIR
2737950,2737950,7713000,7713000,MATCH,null,5872000,FAIR_NULL,MISMATCH,FAIR
2738115,2738115,null,283420000,FAIR_NULL,306454000,306454000,MATCH,MISMATCH,FAIR
2738182,2738182,null,92732000,FAIR_NULL,44775000,45602000,MISMATCH,MISMATCH,FAIR
2738291,2738291,11851000,11851000,MATCH,null,5102000,FAIR_NULL,MISMATCH,FAIR
2738298,2738298,null,11834366.1971831,FAIR_NULL,4253521.12676056,4253521.12676056,MATCH,MISMATCH,FAIR
2738533,2738533,null,51719000,FAIR_NULL,12848000,22868000,MISMATCH,MISMATCH,FAIR
2738655,2738655,10618000,10618000,MATCH,null,11537000,FAIR_NULL,MISMATCH,FAIR
2738718,2738718,null,1855231000,FAIR_NULL,1308416000,1308416000,MATCH,MISMATCH,FAIR
2738813,2738813,9400000,9400000,MATCH,null,23039000,FAIR_NULL,MISMATCH,FAIR
2738996,2738996,null,119319000,FAIR_NULL,177286000,177286000,MATCH,MISMATCH,FAIR
2739145,2739145,null,4510000,FAIR_NULL,12408000,12408000,MATCH,MISMATCH,FAIR
2739410,2739410,882866000,882866000,MATCH,null,977425000,FAIR_NULL,MISMATCH,FAIR
2739437,2739437,4362000,4362000,MATCH,null,10374000,FAIR_NULL,MISMATCH,FAIR
2739443,2739443,null,2352919000,FAIR_NULL,490171000,490171000,MATCH,MISMATCH,FAIR
2739605,2739605,null,37546000,FAIR_NULL,29730000,29730000,MATCH,MISMATCH,FAIR
2739701,2739701,null,2430000,FAIR_NULL,1298000,1298000,MATCH,MISMATCH,FAIR
2739874,2739874,24827000,24827000,MATCH,null,11375000,FAIR_NULL,MISMATCH,FAIR
2740434,2740434,null,648000,FAIR_NULL,4614000,4722000,MISMATCH,MISMATCH,FAIR
2740447,2740447,null,9065000,FAIR_NULL,4244000,4244000,MATCH,MISMATCH,FAIR
2740623,2740623,16999000,16999000,MATCH,null,4213000,FAIR_NULL,MISMATCH,FAIR
2741022,2741022,null,0,FAIR_NULL,0,0,MATCH,MISMATCH,FAIR
2741060,2741060,374000,374000,MATCH,null,4209000,FAIR_NULL,MISMATCH,FAIR
2741149,2741149,9396000,9396000,MATCH,null,6422000,FAIR_NULL,MISMATCH,FAIR
2741423,2741423,0,0,MATCH,null,0,FAIR_NULL,MISMATCH,FAIR
2741744,2741744,null,15504000,FAIR_NULL,9556000,9976000,MISMATCH,MISMATCH,FAIR
2741871,2741871,null,2258000,FAIR_NULL,1852000,1852000,MATCH,MISMATCH,FAIR
2741940,2741940,null,12564000,FAIR_NULL,7691000,8769000,MISMATCH,MISMATCH,FAIR
2741956,2741956,null,15329000,FAIR_NULL,3471000,3473000,MISMATCH,MISMATCH,FAIR
