RATING_ID,PROCESS_ID,ITERATION_NUMBER,CALCULATION_ID,MODEL_COMPONENT_ID,CALCULATION_PERIOD_ID,MODEL_COMPONENT_ESSENTIAL_TYPE_CODE,MODEL_COMPONENT_ESSENTIAL_GROUP_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_NAME,MODEL_COMPONENT_ESSENTIAL_VALUE,MODEL_COMPONENT_ESSENTIAL_VALUE_TYPE,MODEL_COMPONENT_ESSENTIAL_VALUE_CURRENCY
1143675,626938,1,232184,771263,820440,CorrectedTotalAssets,34,fin,cons,Consolidated,177173000,decimal,null
2680414,2108457,1,1112848,4846626,3357846,Turnover,34,fin,cons,Consolidated,890235000,decimal,null
1162173,644680,1,240648,806632,853656,TotalAssets,34,fin,cons,Consolidated,18513000,decimal,null
2625824,2055870,1,1085469,4666082,3290334,TotalAssets,34,fin,cons,Consolidated,4681000,decimal,null
1167197,649263,1,242922,815694,861166,CorrectedTotalAssets,34,fin,cons,Consolidated,20722000,decimal,null
2678539,2106694,1,1111932,4841636,3357565,Turnover,34,fin,cons,Consolidated,7208000,decimal,null
1162298,644799,1,240711,806911,854416,CorrectedTotalAssets,34,fin,cons,Consolidated,4697000,decimal,null
2672128,2100478,1,1108554,4825495,3345355,TotalAssets,34,fin,cons,Consolidated,604026000,decimal,null
1079403,566986,1,192231,673426,664074,TotalAssets,6,fin,cons,Consolidated,11135761.589404,decimal,null
1085772,572663,1,196822,675691,666537,Revenues,6,fin,cons,Consolidated,1206585117.96733,decimal,null
1034882,524986,1,159052,492641,688072,TotalAssets,34,fin,cons,Consolidated,120186000,decimal,null
2548737,1981641,1,1046742,4465564,3195312,TotalAssets,6,fin,cons,Consolidated,59982000,decimal,null
2634605,2064342,1,1089846,4689316,3290179,Turnover,34,fin,cons,Consolidated,3001000,decimal,null
1063575,552445,1,179897,571769,550167,TotalAssets,34,fin,cons,Consolidated,18011000,decimal,null
2620046,2050215,1,1082434,4649961,3261837,CorrectedTotalAssets,34,fin,cons,Consolidated,40271000,decimal,null
2545471,1978436,1,1045087,4456885,3189068,Turnover,34,fin,cons,Consolidated,3661000,decimal,null
1112877,597909,1,215650,704179,727406,Revenues,6,fin,cons,Consolidated,30272232.3049002,decimal,null
2602350,2033136,1,1073436,4603004,3244382,TotalAssets,34,fin,cons,Consolidated,21001000,decimal,null
1068998,557425,1,184228,584855,692986,Turnover,34,fin,cons,Consolidated,1478000,decimal,null
1143096,626431,1,231921,770374,857146,TotalAssets,6,fin,cons,Consolidated,846777272.727273,decimal,null
1131220,615174,1,227091,750843,815704,Turnover,34,fin,cons,Consolidated,1629000,decimal,null
1180456,661973,1,249270,842006,891031,CorrectedTotalAssets,34,fin,cons,Consolidated,5328000,decimal,null
1118299,602912,1,219350,719263,756491,Turnover,34,fin,cons,Consolidated,101250000,decimal,null
1161480,644060,1,240347,805396,883329,TotalAssets,51,fin,cons,Consolidated,98493000,decimal,null
2583627,2015412,1,1064039,4555089,3214510,Turnover,34,fin,cons,Consolidated,9822000,decimal,null
1068361,556822,1,183707,583198,700780,Turnover,34,fin,cons,Consolidated,105429000,decimal,null
1099863,585716,1,206606,667919,738411,TotalAssets,34,fin,cons,Consolidated,1380000,decimal,null
1100141,585961,1,206788,668636,666669,TotalAssets,6,fin,cons,Consolidated,6058400000,decimal,null
2643564,2073018,1,1094388,4712776,3327840,CorrectedTotalAssets,34,fin,cons,Consolidated,31577000,decimal,null
2541982,1975065,1,1043371,4448030,3162119,TotalAssets,51,fin,cons,Consolidated,70536000,decimal,null
2559652,1992237,1,1052085,4493265,3183606,Turnover,34,fin,cons,Consolidated,52094000,decimal,null
2566582,1998891,1,1055588,4511227,3193532,CorrectedTotalAssets,34,fin,cons,Consolidated,68802000,decimal,null
1198992,679826,1,258304,878397,942588,CorrectedTotalAssets,34,fin,cons,Consolidated,705000,decimal,null
1176010,657694,1,247223,833325,897616,Turnover,34,fin,cons,Consolidated,384000,decimal,null
1139416,623095,1,230351,764125,810611,TotalAssets,34,fin,cons,Consolidated,3847000,decimal,null
2575015,2007056,1,1059739,4532736,3216149,Turnover,34,fin,cons,Consolidated,192398469.927566,decimal,null
1176531,658210,1,247504,834429,907041,Turnover,34,fin,cons,Consolidated,32970000,decimal,null
1057913,546994,1,175527,555765,691281,TotalAssets,34,fin,cons,Consolidated,6754000,decimal,null
2630840,2060728,1,1087952,4679008,3292447,TotalAssets,28,fin,cons,Consolidated,371274761024.087,decimal,null
1059298,548335,1,176567,559988,766084,TotalAssets,28,fin,cons,Consolidated,41809256844.8501,decimal,null
2678561,2106716,1,1111947,4841686,3361911,TotalAssets,34,fin,cons,Consolidated,54807000,decimal,null
2632205,2062034,1,1088675,4682855,3278788,Turnover,34,fin,cons,Consolidated,73536000,decimal,null
2577944,2009898,1,1061228,4540202,3260389,TotalAssets,53,fin,cons,Consolidated,2409997060.0341,decimal,null
1090043,576513,1,199732,640893,695638,TotalAssets,34,fin,cons,Consolidated,2886000,decimal,null
1037959,527818,1,161126,500167,688374,CorrectedTotalAssets,34,fin,cons,Consolidated,325000.0,decimal,null
2577642,2009602,1,1061078,4539354,3205986,Turnover,34,fin,cons,Consolidated,26366000000,decimal,null
2601383,2032241,1,1072956,4600725,3236516,CorrectedTotalAssets,34,fin,cons,Consolidated,92380000,decimal,null
2502202,1936940,1,1024687,4351815,3115926,TotalAssets,34,fin,cons,Consolidated,11824000,decimal,null
1145809,629003,1,233128,775335,852145,CorrectedTotalAssets,34,fin,cons,Consolidated,11082000,decimal,null
1058698,547736,1,176080,558114,546544,TotalAssets,28,fin,cons,Consolidated,46717056831.9226,decimal,null
2523365,1957341,1,1034771,4403789,3141425,TotalAssets,34,fin,cons,Consolidated,102887000,decimal,null
1136499,620282,1,229158,759192,856716,TotalAssets,34,fin,cons,Consolidated,3078000,decimal,null
1067017,555556,1,182551,579710,556520,Turnover,34,fin,cons,Consolidated,1366000,decimal,null
1049191,538747,1,169220,531378,689922,Turnover,34,fin,cons,Consolidated,7487000,decimal,null
1157615,640471,1,238588,798381,882362,TotalAssets,34,fin,cons,Consolidated,10595000,decimal,null
1198581,679419,1,258120,877595,933713,CorrectedTotalAssets,34,fin,cons,Consolidated,null,decimal,null
2673877,2102195,1,1109490,4830298,3361836,CorrectedTotalAssets,34,fin,cons,Consolidated,4961000,decimal,null
1087398,574087,1,197875,630883,695434,Turnover,34,fin,cons,Consolidated,28804000,decimal,null
