DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
IHUB-FR1,2025-05-31,810219,1N08539215,AAB.SYS.2180,10853921,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08539215,AAB.SYS.2180,10853921,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N085456744,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N085456744,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N085456746,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N085456746,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N085456747,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N085456747,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N085456748,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N085456748,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N085456749,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N085456749,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N085456758,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N085456758,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N085456759,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N085456759,AAB.SYS.2180,10854567,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08550452,AAB.SYS.2180,10855045,AAB.SYS.2180,22,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08550452,AAB.SYS.2180,10855045,AAB.SYS.2180,22,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08553347,AAB.SYS.2180,10855334,AAB.SYS.2180,22,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08553347,AAB.SYS.2180,10855334,AAB.SYS.2180,22,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08561224,AAB.SYS.2180,10856122,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08561224,AAB.SYS.2180,10856122,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08600774,AAB.SYS.2180,10860077,AAB.SYS.2180,22,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08600774,AAB.SYS.2180,10860077,AAB.SYS.2180,22,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08602414,AAB.SYS.2180,10860241,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08602414,AAB.SYS.2180,10860241,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08602415,AAB.SYS.2180,10860241,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08602415,AAB.SYS.2180,10860241,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08602416,AAB.SYS.2180,10860241,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08602416,AAB.SYS.2180,10860241,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08602804,AAB.SYS.2180,10860280,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08602804,AAB.SYS.2180,10860280,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08602805,AAB.SYS.2180,10860280,AAB.SYS.2180,2,NPL,IPREF-RRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1553,AIRB_SL_RRE,Specialised Lending Residential Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08602805,AAB.SYS.2180,10860280,AAB.SYS.2180,2,NPL,IPREF-RRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08602808,AAB.SYS.2180,10860280,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08602808,AAB.SYS.2180,10860280,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08602856,AAB.SYS.2180,10860285,AAB.SYS.2180,2,NPL,IPREF-RRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1553,AIRB_SL_RRE,Specialised Lending Residential Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08602856,AAB.SYS.2180,10860285,AAB.SYS.2180,2,NPL,IPREF-RRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
IHUB-FR1,2025-05-31,810219,1N08602859,AAB.SYS.2180,10860285,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,AIRB,1552,AIRB_SL_CRE,Specialised Lending Commercial Real Estate,P,IHUB-FR1,2025-05-31,810219,1N08602859,AAB.SYS.2180,10860285,AAB.SYS.2180,2,NPL,IPREF-CRE,null,PGCRWW03,PGCRWW03,null,LCROWW05,FIRB,1640,NMB Corps_ECIRB,PPU4_Non-Mainbank Corporates,P
