DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
FBS,2025-05-31,524749,CF/3491,AAB.SYS.1861,BCA134856910,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/3491,AAB.SYS.1861,BCA134856910,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
MAINBANK,2025-05-31,524749,CF/63279118_AS_REPO,AAB.SYS.12036,BCA63279118,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,MAINBANK,2025-05-31,524749,CF/63279118_AS_REPO,AAB.SYS.12036,BCA63279118,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/9008754,AAB.SYS.1861,BCA194639274,AAB.SYS.1861,102,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,P,FBS,2025-05-31,524749,CF/9008754,AAB.SYS.1861,BCA194639274,AAB.SYS.1861,102,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,T
FBS,2025-05-31,524749,CF/9013688,AAB.SYS.1861,BCA194654591,AAB.SYS.1861,102,NPL,null,null,PIBKWW08,PIBKWW08,null,LNOMO401,FIRB,1173,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9013688,AAB.SYS.1861,BCA194654591,AAB.SYS.1861,102,NPL,null,null,PIBKWW08,PIBKWW08,null,LNOMO401,FIRB,1173,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/9013862,AAB.SYS.1861,BCA195835549,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9013862,AAB.SYS.1861,BCA195835549,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/9014484,AAB.SYS.1861,BCA203694821,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9014484,AAB.SYS.1861,BCA203694821,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/9014735,AAB.SYS.1861,BCA194940780,AAB.SYS.1861,104,NPL,null,null,PINNWW05,PINNWW05,null,LNOMO401,FIRB,1375,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9014735,AAB.SYS.1861,BCA194940780,AAB.SYS.1861,104,NPL,null,null,PINNWW05,PINNWW05,null,LNOMO401,FIRB,1375,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/9014739,AAB.SYS.1861,BCA197712991,AAB.SYS.1861,104,NPL,null,null,PINLWW05,PINLWW05,null,LNOMO401,FIRB,1361,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9014739,AAB.SYS.1861,BCA197712991,AAB.SYS.1861,104,NPL,null,null,PINLWW05,PINLWW05,null,LNOMO401,FIRB,1361,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/9015201,AAB.SYS.1861,BCA63279118,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9015201,AAB.SYS.1861,BCA63279118,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/9016036,AAB.SYS.1861,BCA17067294,AAB.SYS.1861,102,NPL,null,null,PFSPWW05,PFSPWW05,null,LNOMO401,FIRB,1334,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9016036,AAB.SYS.1861,BCA17067294,AAB.SYS.1861,102,NPL,null,null,PFSPWW05,PFSPWW05,null,LNOMO401,FIRB,1334,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
